latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
32.24983,-101.85707,320.9,0.38,0.36,2025-08-12,837,N,VIIRS,n,2,290.67,1.46,N,0
32.32501,-101.8155,315.98,0.38,0.36,2025-08-12,837,N,VIIRS,n,2,283.74,1.16,N,2
32.24955,-101.86043,307.96,0.51,0.41,2025-08-13,818,N,VIIRS,n,2,290.88,0.89,N,0
32.21294,-101.93113,330.52,0.68,0.74,2025-08-14,939,N,VIIRS,n,2,289.98,6,N,0
32.21503,-101.93822,329.1,0.68,0.74,2025-08-14,939,N,VIIRS,n,2,290.33,6,N,0
32.44087,-101.80589,304.31,0.59,0.7,2025-08-15,740,N,VIIRS,n,2,290.53,0.39,N,0
