latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
32.37258,-101.84412,340.87,0.41,0.37,2025-08-01,2001,N,VIIRS,n,2,305.35,5.71,D,2
32.37409,-101.84803,342.34,0.41,0.37,2025-08-01,2001,N,VIIRS,n,2,307.06,9.6,D,2
32.32583,-101.82695,309.08,0.44,0.38,2025-08-02,824,N,VIIRS,n,2,287.66,1.1,N,0
32.32605,-101.82947,316.95,0.44,0.38,2025-08-02,824,N,VIIRS,n,2,289.78,1.57,N,0
32.32646,-101.8316,304.14,0.44,0.38,2025-08-02,824,N,VIIRS,n,2,286.33,1.1,N,0
32.32957,-101.82882,328.54,0.44,0.38,2025-08-02,824,N,VIIRS,n,2,285.37,1.68,N,2
32.21193,-101.93255,343.78,0.55,0.51,2025-08-05,2026,N,VIIRS,n,2,307.9,4.41,D,0
32.37333,-101.84632,343.61,0.56,0.51,2025-08-05,2026,N,VIIRS,n,2,310.95,8.28,D,2
32.37389,-101.84404,345.31,0.56,0.51,2025-08-05,2026,N,VIIRS,n,2,310.1,6.28,D,2
